tau_high,scenario,passed,fail_years_last10,min_repl_low,min_repl_mid,min_pool,max_state_loan,final_state_loan
0.1,base_1p7,1,0,1.0,0.7,3186118217429.547,0.0,0.0
0.1,low_1p0,1,0,1.0,0.7,1222914814161.434,0.0,0.0
0.1,hard_0p5,1,0,1.0,0.7,20758239451.212036,0.0,0.0
0.1,flat_0p0,0,4,0.5547740437923617,0.4703467689106602,0.0,444045024560.0,444045024560.0
0.1025,base_1p7,1,0,1.0,0.7,3297153280005.9785,0.0,0.0
0.1025,low_1p0,1,0,1.0,0.7,1333652508840.146,0.0,0.0
0.1025,hard_0p5,1,0,1.0,0.7,114596773137.35458,0.0,0.0
0.1025,flat_0p0,0,4,0.5605297056089806,0.4733156127411121,0.0,444045024560.0,444045024560.0
0.105,base_1p7,1,0,1.0,0.7,3408188342582.413,0.0,0.0
0.105,low_1p0,1,0,1.0,0.7,1444390203518.8586,0.0,0.0
0.105,hard_0p5,1,0,1.0,0.7,208435306823.4975,0.0,0.0
0.105,flat_0p0,0,3,0.5662853674255997,0.4762844565715639,0.0,444045024560.0,444045024560.0
0.1075,base_1p7,1,0,1.0,0.7,3519223405158.843,0.0,0.0
0.1075,low_1p0,1,0,1.0,0.7,1555127898197.571,0.0,0.0
0.1075,hard_0p5,1,0,1.0,0.7,302273840509.641,0.0,0.0
0.1075,flat_0p0,0,2,0.5720410292422186,0.4792533004020158,0.0,444045024560.0,444045024560.0
0.11,base_1p7,1,0,1.0,0.7,3630258467735.279,0.0,0.0
0.11,low_1p0,1,0,1.0,0.7,1665865592876.2842,0.0,0.0
0.11,hard_0p5,1,0,1.0,0.7,396112374195.7843,0.0,0.0
0.11,flat_0p0,0,1,0.5966139862219906,0.491928345262141,0.0,444045024560.0,444045024560.0
0.1125,base_1p7,1,0,1.0,0.7,3741293530311.71,0.0,0.0
0.1125,low_1p0,1,0,1.0,0.7,1776603287554.9978,0.0,0.0
0.1125,hard_0p5,1,0,1.0,0.7,489950907881.92804,0.0,0.0
0.1125,flat_0p0,0,1,0.9246867097692693,0.6611524435978968,0.0,444045024560.0,444045024560.0
0.115,base_1p7,1,0,1.0,0.7,3852328592888.142,0.0,0.0
0.115,low_1p0,1,0,1.0,0.7,1887340982233.7092,0.0,0.0
0.115,hard_0p5,1,0,1.0,0.7,583789441568.071,0.0,0.0
0.115,flat_0p0,1,0,1.0,0.7,0.0,382266039960.0,382266039960.0
0.1175,base_1p7,1,0,1.0,0.7,3963363655464.5767,0.0,0.0
0.1175,low_1p0,1,0,1.0,0.7,1998078676912.4236,0.0,0.0
0.1175,hard_0p5,1,0,1.0,0.7,677627975254.2151,0.0,0.0
0.1175,flat_0p0,1,0,1.0,0.7,0.0,302079122820.0,302079122820.0
0.12,base_1p7,1,0,1.0,0.7,4074398718041.0073,0.0,0.0
0.12,low_1p0,1,0,1.0,0.7,2108816371591.14,0.0,0.0
0.12,hard_0p5,1,0,1.0,0.7,771466508940.3579,0.0,0.0
0.12,flat_0p0,1,0,1.0,0.7,0.0,221892205680.0,221892205680.0
