tau_high,scenario,passed,fail_years_last10,min_repl_low,min_repl_mid,min_pool,max_state_loan,final_state_loan
0.075,stagflation_proxy,1,0,1.0,0.7,626705984191.981,0.0,0.0
0.0775,drawdown_5y_then_1p5,1,0,1.0,0.7,1641675844088.7742,0.0,0.0
0.0775,crash_then_recover,1,0,1.0,0.7,2100262856606.376,0.0,0.0
0.0775,stagflation_proxy,1,0,1.0,0.7,745290221086.62,0.0,0.0
0.08,drawdown_5y_then_1p5,1,0,1.0,0.7,1760170678936.332,0.0,0.0
0.08,crash_then_recover,1,0,1.0,0.7,2210055406437.238,0.0,0.0
0.08,stagflation_proxy,1,0,1.0,0.7,863874457981.2603,0.0,0.0
0.0825,drawdown_5y_then_1p5,1,0,1.0,0.7,1863369441480.356,0.0,0.0
0.0825,crash_then_recover,1,0,1.0,0.7,2319847956268.0986,0.0,0.0
0.0825,stagflation_proxy,1,0,1.0,0.7,982458694875.9009,0.0,0.0
0.085,drawdown_5y_then_1p5,1,0,1.0,0.7,1966568204024.3809,0.0,0.0
0.085,crash_then_recover,1,0,1.0,0.7,2429640506098.9614,0.0,0.0
0.085,stagflation_proxy,1,0,1.0,0.7,1101042931770.5405,0.0,0.0
0.0875,drawdown_5y_then_1p5,1,0,1.0,0.7,2069766966568.4038,0.0,0.0
0.0875,crash_then_recover,1,0,1.0,0.7,2539433055929.8184,0.0,0.0
0.0875,stagflation_proxy,1,0,1.0,0.7,1219627168665.1816,0.0,0.0
0.09,drawdown_5y_then_1p5,1,0,1.0,0.7,2172965729112.4277,0.0,0.0
0.09,crash_then_recover,1,0,1.0,0.7,2649225605760.682,0.0,0.0
0.09,stagflation_proxy,1,0,1.0,0.7,1338211405559.8196,0.0,0.0
0.0925,drawdown_5y_then_1p5,1,0,1.0,0.7,2276164491656.4517,0.0,0.0
0.0925,crash_then_recover,1,0,1.0,0.7,2759018155591.5425,0.0,0.0
0.0925,stagflation_proxy,1,0,1.0,0.7,1456795642454.46,0.0,0.0
0.095,drawdown_5y_then_1p5,1,0,1.0,0.7,2379363254200.4756,0.0,0.0
0.095,crash_then_recover,1,0,1.0,0.7,2868810705422.4053,0.0,0.0
0.095,stagflation_proxy,1,0,1.0,0.7,1575379879349.1,0.0,0.0
0.0975,drawdown_5y_then_1p5,1,0,1.0,0.7,2482562016744.5005,0.0,0.0
0.0975,crash_then_recover,1,0,1.0,0.7,2978603255253.2666,0.0,0.0
0.0975,stagflation_proxy,1,0,1.0,0.7,1693964116243.7417,0.0,0.0
0.1,drawdown_5y_then_1p5,1,0,1.0,0.7,2585760779288.5244,0.0,0.0
